Lot_number1	Lot_number2	Estimate_from1	Estimate_from2	Estimate_to1	Estimate_to2	Currency1	Currency2	Price1	Price2	Auction_date1	Auction_date2	Auction_time1	Auction_time2	Auction_location1	Auction_location2	Description1	Description2	link1	link2	Provenance1	Provenance2	Norm_price1	Norm_price2	Norm_estimate_from1	Norm_estimate_from2	Norm_estimate_to1	Norm_estimate_to2	Author	Art	Image	Days_distance	Resale_income	Estimate_from_income	Estimate_to_income
252	121	8000	6000	12000	8000	GBP	GBP	9600	7500	08.07.2004	07.07.2016	1900-01-02 09:30:00	1900-01-02 09:30:00	London	London	 abraham bloemaertgorinchem 1566 - 1651 utrecht gorinchem 1566 - 1651 utrecht the last supper   signed and dated lower left: abloemaert fec./1635and inscribed with inventory numbers on the reverse: 3486 and 53/111oil on panel39.3 by 28.7 cm.; 15 1/2 by 11 1/4 in.  	 abraham bloemaert gorinchem 1566 - 1651 utrecht the last supper   signed and dated lower left: abloemaert fec. / 1635and inscribed with inventory numbers on the reverse: 3486 and 53/111oil on oak panel40 x 29 cm.; 15 5/8  x 11 3/8  in.  	https://www.sothebys.com/en/auctions/ecatalogue/2004/old-master-paintings-part-2-l04032/lot.252.html	https://www.sothebys.com/en/auctions/ecatalogue/2016/old-master-british-paintings-day-l16034/lot.121.html	"
 in pillnitz, near dresden, in 1928 (according to a photograph in the getty centre, los angeles);with richter, dresden, from whom confiscated by the gemäldegalerie, dresden in 1953 (their inv. no. 3486);thence returned to richter by the dresden gemäldegalerie, in around 2002.
 "	"
 in pillnitz, near dresden, in 1928 (according to a photograph in the getty centre, los angeles);with richter, dresden, from whom confiscated by the gemäldegalerie, dresden, in 1953, inventory no. 3486;thence returned to the heirs of the richter family by the dresden gemäldegalerie, in around 2002;anonymous sale, munich, neumeister, 4 december 2002, lot 583 (as attributed to bloemaert);anonymous sale, london, sotheby's, 8 july 2004, lot 252, where acquired by the present owner.
 "	14383	13749	11986	10999	17979	14665	abraham bloemaert	THE LAST SUPPER	https://www.sothebys.com/content/dam/stb/lots/L16/L16034/054L16034_8YLW3.jpg	4382	-634	-987	-3314
18	12	1500	8000	2000	12000	EUR	GBP	6960	10000	14.11.2006	07.07.2011	1900-01-03 18:00:00	1900-01-02 14:00:00	Amsterdam	London	 abraham bloemaert gorinchem 1566 - 1651 utrecht gorinchem 1566 - 1651 utrecht study of two trees   pen and brown ink and wash, over black chalk and touches of red chalk and black lead, within black ink framing lines288 by 179mm  	 abraham bloemaert gorinchem 1566 - 1651 utrecht two trees   black and red chalk and pen and brown ink and wash288 by 179 mm  	https://www.sothebys.com/en/auctions/ecatalogue/2006/old-master-drawings-am1014/lot.18.html	https://www.sothebys.com/en/auctions/ecatalogue/2011/old-master-british-drawings-sale-l11040/lot.12.html		"
 with galerie meissner, zürich;sale, amsterdam, sotheby's, 14 november 2006, lot 18
 "	9052	16532	1951	13226	2601	19839	abraham bloemaert	TWO TREES	https://www.sothebys.com/content/dam/stb/lots/L11/L11040/162L11040_64CLP.jpg	1696	7480	11275	17238
265	339	60000	40000	80000	60000	USD	USD	65500	53125	28.01.2010	29.01.2015	1899-12-28 15:00:00	1899-12-28 20:00:00	New York	New York	 abraham storck amsterdam 1644 - 1708 a fortified mediterranean port with an obelisk and a galley moored nearby   signed and dated lower left: a storck/ fecit ao1676oil on panel18 1/2 by 24 7/8 in.; 47 by 63 cm.  	 abraham storck amsterdam 1644 - 1708 a fortified mediterranean port with an obelisk and a galley moored nearby   signed and dated lower left: a. storck /  fecit ao 1676oil on panel18  1/2  by 24  3/4  in.; 47 by 62.9 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2010/important-old-master-paintings-and-sculpture-n08610/lot.265.html	https://www.sothebys.com/en/auctions/ecatalogue/2015/master-paintings-part-ii-n09307/lot.339.html	"
 with j. leger & son, london, 1955;anonymous sale (""the property of a gentleman of title""), london, sotheby's, december 7, 1994, lot 4, to marommatis;dimitri mavrommatis, london;by whom sold (""property from the london residence of dimitri mavrommatis""), london, sotheby's, december 5, 2007, lot 45, there purchased by the present collector.
 "	"
 with leger & sons, london, 1955;anonymous sale (""the property of a gentleman of title""), london, sotheby's, 7 december 1994, lot 4;there purchased by dimitri mavrommatis, london;by whom sold, london, sotheby's, 5 december 2007, lot 45;anonymous sale (""property of a private collector""), new york, sotheby's, 28 january 2010, lot 265;there acquired by the present owner.
 "	77827	69894	71292	52626	95056	78940	abraham storck	A FORTIFIED MEDITERRANEAN PORT WITH AN OBELISK AND A GALLEY MOORED NEARBY	https://www.sothebys.com/content/dam/stb/lots/N09/N09307/547N09307_7NbxB.jpg	1827	-7933	-18666	-16116
45	339	40000	40000	60000	60000	GBP	USD	42500	53125	05.12.2007	29.01.2015	1900-01-02 19:00:00	1899-12-28 20:00:00	London	New York	 abraham storckamsterdam 1644 - 1708 1644 - 1708 a fortified mediterranean port with an obelisk and a galley moored nearby    signed and dated lower left: a storck/ fecit ao 1676oil on panel47 by 63 cm.; 18 1/2 by 24 3/8 in.  	 abraham storck amsterdam 1644 - 1708 a fortified mediterranean port with an obelisk and a galley moored nearby   signed and dated lower left: a. storck /  fecit ao 1676oil on panel18  1/2  by 24  3/4  in.; 47 by 62.9 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/old-master-paintings-evening-sale-l07033/lot.45.html	https://www.sothebys.com/en/auctions/ecatalogue/2015/master-paintings-part-ii-n09307/lot.339.html	"
 with j. leger & son, london, 1955;anonymous sale (""the property of a gentleman of title""), london, sotheby's, 7 december 1994, lot 4, where acquired by the present owner.
 "	"
 with leger & sons, london, 1955;anonymous sale (""the property of a gentleman of title""), london, sotheby's, 7 december 1994, lot 4;there purchased by dimitri mavrommatis, london;by whom sold, london, sotheby's, 5 december 2007, lot 45;anonymous sale (""property of a private collector""), new york, sotheby's, 28 january 2010, lot 265;there acquired by the present owner.
 "	65669	69894	61806	52626	92710	78940	abraham storck	A FORTIFIED MEDITERRANEAN PORT WITH AN OBELISK AND A GALLEY MOORED NEARBY	https://www.sothebys.com/content/dam/stb/lots/N09/N09307/547N09307_7NbxB.jpg	2612	4225	-9180	-13770
45	265	40000	60000	60000	80000	GBP	USD	42500	65500	05.12.2007	28.01.2010	1900-01-02 19:00:00	1899-12-28 15:00:00	London	New York	 abraham storckamsterdam 1644 - 1708 1644 - 1708 a fortified mediterranean port with an obelisk and a galley moored nearby    signed and dated lower left: a storck/ fecit ao 1676oil on panel47 by 63 cm.; 18 1/2 by 24 3/8 in.  	 abraham storck amsterdam 1644 - 1708 a fortified mediterranean port with an obelisk and a galley moored nearby   signed and dated lower left: a storck/ fecit ao1676oil on panel18 1/2 by 24 7/8 in.; 47 by 63 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/old-master-paintings-evening-sale-l07033/lot.45.html	https://www.sothebys.com/en/auctions/ecatalogue/2010/important-old-master-paintings-and-sculpture-n08610/lot.265.html	"
 with j. leger & son, london, 1955;anonymous sale (""the property of a gentleman of title""), london, sotheby's, 7 december 1994, lot 4, where acquired by the present owner.
 "	"
 with j. leger & son, london, 1955;anonymous sale (""the property of a gentleman of title""), london, sotheby's, december 7, 1994, lot 4, to marommatis;dimitri mavrommatis, london;by whom sold (""property from the london residence of dimitri mavrommatis""), london, sotheby's, december 5, 2007, lot 45, there purchased by the present collector.
 "	65669	77827	61806	71292	92710	95056	abraham storck	A FORTIFIED MEDITERRANEAN PORT WITH AN OBELISK AND A GALLEY MOORED NEARBY	https://www.sothebys.com/content/dam/stb/lots/N08/N08610/N08610-265-lr-1.jpg	785	12158	9486	2346
19	75	80000	50000	120000	70000	USD	GBP	91000	51650	23.10.2007	18.05.2011	1899-12-28 14:00:00	1900-01-02 23:00:00	New York	London	 adolf schreyer 1828-1899 germanarab horsemen   signed ad. schreyer (lower right)oil on canvas23 1/2 by 28 in.59.7 by 96.5 cm  	 adolf schreyer 1828-1899 germanriders by an oasis   signed ad. schreyer lower rightoil on canvas60 by 96.5cm., 23½ by 38in.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/19th-century-european-art-n08355/lot.19.html	https://www.sothebys.com/en/auctions/ecatalogue/2011/19th-century-european-paintings-l11101/lot.75.html		"
 sale: sotheby's, new york, 23 october 2007, lot 19purchased by the present owner at the above sale
 "	100738	86215	88561	83461	132842	116845	adolf schreyer	GERMANARAB HORSEMEN	https://www.sothebys.com/content/dam/stb/lots/L11/L11101/L11101-75-lr-1.jpg	1303	-14523	-5100	-15997
121	15	80000	150000	100000	200000	USD	USD	131000	212500	14.11.2013	01.03.2019	1899-12-28 14:30:00	1899-12-28 15:00:00	New York	New York	 adolph gottlieb 1903 - 1974 blue on black   acrylic on paper mounted on canvas24 by 18 7/8 in. 61 by 47.9 cm.executed in 1970.  	 adolph gottlieb 1903 - 1974 blue on black   signed and dated 1970acrylic on paper laid on canvas24 by 18 7/8 in. 61 by 47.9 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2013/nov-2013-contemporary-day-n09038/lot.121.html	https://www.sothebys.com/en/auctions/ecatalogue/2019/contemporary-curated-n10027/lot.15.html	"
 estate of the artistadolph and esther gottlieb foundation, new yorkprivate collection, stockholmbukowskis, stockholm, november 16, 2011, lot 405private collection, swedenacquired by the present owner from the above
 "	"
 estate of the artistadolph and esther gottlieb foundation, new yorkprivate collection, stockholmbukowskis, stockholm, 5 may 2010, lot 674private collectionbukowskis, stockholm, 16 november 2011, lot 405private collection, swedensotheby's, new york, 14 november 2013, lot 121 (consigned by the above)acquired from the above sale by the present owner 
 "	160054	296481	97743	209280	122178	279041	adolph gottlieb	BLUE ON BLACK	https://www.sothebys.com/content/dam/stb/lots/N10/N10027/839N10027_B4S9T.jpg	1933	136427	111537	156863
57	118	35000	30000	55000	50000	USD	USD	48000	162500	26.02.2007	18.11.2016	1899-12-28 15:00:00	1899-12-28 15:00:00	New York	New York	 adolph gottlieb 1903 - 1974 black disc   acrylic on paper8 1/2 by 9 in.21.6 by 22.9 cm.executed in 1969.  	 adolph gottlieb 1903 - 1974 black disc   acrylic and gouache on paper8 1/2 by 9 in. 21.6 by 22.9 cm.executed in 1969.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/contemporary-art-n08294/lot.57.html	https://www.sothebys.com/en/auctions/ecatalogue/2016/contemporary-art-day-auction-n09573/lot.118.html	"
 collection of the artist adolph and esther gottlieb foundation private collection
 "	"
 adolph and esther gottlieb foundation, new yorkprivate collection, new york (acquired from the above)sotheby's, new york, 26 february 2007, lot 57 (consigned by the above)acquired from the above sale by the present owner
 "	53938	213285	39330	39375	61804	65626	adolph gottlieb	BLACK DISC	https://www.sothebys.com/content/dam/stb/lots/N09/N09573/249N09573_4JYP7.jpg	3553	159347	45	3822
109	130	150000	400000	200000	600000	USD	USD	321600	485000	13.05.2004	15.05.2014	1899-12-28 14:15:00	1899-12-28 13:30:00	New York	New York	 adolph gottlieb 1903 - 1974 rising   signed twice, titled and dated 1958 on the reverseoil on canvas69 by 40 1/4 in. 175.3 by 102.3 cm.  	 adolph gottlieb 1903 - 1974 rising   signed twice, titled and dated 1958 on the reverseoil on canvas69 by 40 in. 175.3 by 101.6 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2004/contemporary-art-part-two-n07995/lot.109.html	https://www.sothebys.com/en/auctions/ecatalogue/2014/contemporary-art-day-sale-n09142/lot.130.html	"
 barbara mathes gallery, inc., new yorkacquired by the present owner from the above
 "	"
 private collectionchristie's, new york, november 3, 1978, lot 19private collection, italybarbara mathes gallery, new yorkprivate collection, pepper pikesotheby's, new york, may 13, 2004, lot 109acquired by the present owner from the above sale
 "	349013	610220	162786	503274	217048	754912	adolph gottlieb	RISING	https://www.sothebys.com/content/dam/stb/lots/N09/N09142/396N09142_6T8HV.jpg	3654	261207	340488	537864
247	303	30000	40000	40000	60000	USD	USD	31250	59375	10.11.2010	25.09.2013	1899-12-28 15:00:00	1899-12-28 14:00:00	New York	New York	 adolph gottlieb 1903 - 1974 untitled   signedacrylic on paper19 by 24 in. 48.2 by 61 cm.executed circa 1966.  	 adolph gottlieb 1903 - 1974 untitled     signedacrylic on paper 19 by 24 in. 48.2 by 61 cm.executed circa 1966.  	https://www.sothebys.com/en/auctions/ecatalogue/2010/contemporary-art-day-auction-n08679/lot.247.html	https://www.sothebys.com/en/auctions/ecatalogue/2013/contemporary-art-n09010/lot.303.html	"
 private collection, u.s.a. (acquired directly from the artist)christie's, new york, february 14, 1991, lot 10acquired by the present owner from the above sale
 "	"
 private collection, u.s.a. (acquired directly from the artist)christie's, new york, february 14, 1991, lot 10private collection, milansotheby's, new york, november 10, 2010, lot 247acquired by the present owner from the above sale
 "	36733	72834	35264	49067	47019	73600	adolph gottlieb	UNTITLED	https://www.sothebys.com/content/dam/stb/lots/N09/N09010/574N09010_74K2K.jpg	1050	36101	13803	26581
